dealer_id,date,interaction_type,notes,duration_mins
D001,2024-01-05,Review Meeting,Addressed complaints related to warranty delays.,71
D001,2024-06-15,Dealer Visit,Aligned on quarterly targets and marketing support.,74
D001,2024-08-25,Dealer Visit,Talked about EV potential in the region.,58
D001,2024-06-06,Dealer Visit,Talked about EV potential in the region.,47
D001,2024-01-09,Call,Aligned on quarterly targets and marketing support.,33
D001,2024-05-29,Video Call,Discussed sales performance and incentives.,60
D001,2024-05-22,Review Meeting,Reviewed service quality and customer feedback.,71
D001,2024-02-19,Call,Talked about EV potential in the region.,51
D001,2024-10-18,Email,Addressed complaints related to warranty delays.,23
D001,2024-04-11,Review Meeting,Discussed sales performance and incentives.,49
D001,2024-08-21,Call,Reviewed service quality and customer feedback.,75
D001,2024-01-24,Review Meeting,Addressed complaints related to warranty delays.,57
D001,2024-07-26,Dealer Visit,Aligned on quarterly targets and marketing support.,42
D001,2024-10-13,Dealer Visit,Talked about EV potential in the region.,22
D001,2024-09-14,Video Call,Discussed sales performance and incentives.,63
D001,2024-01-27,Dealer Visit,Reviewed service quality and customer feedback.,74
D001,2024-06-18,Call,Aligned on quarterly targets and marketing support.,44
D001,2024-07-07,Dealer Visit,Addressed complaints related to warranty delays.,35
D001,2024-04-29,Dealer Visit,Aligned on quarterly targets and marketing support.,71
D002,2024-02-19,Dealer Visit,Addressed complaints related to warranty delays.,52
D002,2024-07-03,Video Call,Talked about EV potential in the region.,46
D002,2024-03-04,Email,Aligned on quarterly targets and marketing support.,30
D002,2024-03-24,Review Meeting,Talked about EV potential in the region.,83
D002,2024-11-08,Video Call,Talked about EV potential in the region.,50
D002,2024-12-16,Video Call,Addressed complaints related to warranty delays.,38
D002,2024-07-01,Email,Aligned on quarterly targets and marketing support.,74
D002,2024-02-29,Call,Aligned on quarterly targets and marketing support.,24
D002,2024-06-22,Video Call,Reviewed service quality and customer feedback.,44
D002,2024-08-15,Video Call,Talked about EV potential in the region.,18
D002,2024-02-19,Email,Discussed sales performance and incentives.,66
D003,2024-01-11,Review Meeting,Reviewed service quality and customer feedback.,21
D003,2024-01-22,Dealer Visit,Discussed sales performance and incentives.,59
D003,2024-06-14,Video Call,Addressed complaints related to warranty delays.,12
D003,2024-01-24,Review Meeting,Addressed complaints related to warranty delays.,44
D003,2024-10-08,Email,Talked about EV potential in the region.,87
D004,2024-08-05,Dealer Visit,Reviewed service quality and customer feedback.,59
D004,2024-01-17,Video Call,Reviewed service quality and customer feedback.,53
D004,2024-01-30,Email,Addressed complaints related to warranty delays.,77
D004,2024-10-26,Dealer Visit,Aligned on quarterly targets and marketing support.,62
D004,2024-08-13,Review Meeting,Talked about EV potential in the region.,65
D004,2024-04-28,Video Call,Aligned on quarterly targets and marketing support.,35
D004,2024-02-23,Email,Aligned on quarterly targets and marketing support.,21
D004,2024-10-02,Dealer Visit,Talked about EV potential in the region.,40
D004,2024-07-26,Dealer Visit,Reviewed service quality and customer feedback.,69
D004,2024-08-05,Review Meeting,Aligned on quarterly targets and marketing support.,10
D004,2024-02-18,Dealer Visit,Addressed complaints related to warranty delays.,72
D004,2024-02-14,Call,Addressed complaints related to warranty delays.,52
D004,2024-03-13,Call,Discussed sales performance and incentives.,10
D004,2024-10-23,Call,Discussed sales performance and incentives.,71
D004,2024-07-02,Email,Reviewed service quality and customer feedback.,66
D004,2024-12-22,Dealer Visit,Discussed sales performance and incentives.,60
D004,2024-09-04,Dealer Visit,Discussed sales performance and incentives.,16
D005,2024-06-23,Dealer Visit,Addressed complaints related to warranty delays.,51
D005,2024-11-10,Email,Talked about EV potential in the region.,59
D005,2024-06-13,Call,Addressed complaints related to warranty delays.,12
D005,2024-01-22,Review Meeting,Aligned on quarterly targets and marketing support.,25
D005,2024-09-17,Email,Discussed sales performance and incentives.,31
D005,2024-08-11,Call,Addressed complaints related to warranty delays.,46
D005,2024-05-25,Review Meeting,Aligned on quarterly targets and marketing support.,25
D005,2024-04-08,Call,Discussed sales performance and incentives.,78
D005,2024-09-18,Review Meeting,Talked about EV potential in the region.,31
D005,2024-07-03,Review Meeting,Talked about EV potential in the region.,26
D005,2024-02-21,Call,Addressed complaints related to warranty delays.,14
D005,2024-07-28,Email,Reviewed service quality and customer feedback.,68
D006,2024-11-27,Call,Discussed sales performance and incentives.,67
D006,2024-09-03,Review Meeting,Reviewed service quality and customer feedback.,68
D006,2024-03-23,Dealer Visit,Reviewed service quality and customer feedback.,79
D006,2024-03-16,Review Meeting,Addressed complaints related to warranty delays.,83
D006,2024-08-23,Video Call,Talked about EV potential in the region.,54
D006,2024-04-26,Video Call,Aligned on quarterly targets and marketing support.,87
D006,2024-09-14,Call,Talked about EV potential in the region.,42
D006,2024-08-18,Email,Aligned on quarterly targets and marketing support.,17
D006,2024-12-06,Review Meeting,Reviewed service quality and customer feedback.,63
D006,2024-06-25,Dealer Visit,Talked about EV potential in the region.,60
D006,2024-09-23,Call,Discussed sales performance and incentives.,59
D006,2024-11-12,Call,Aligned on quarterly targets and marketing support.,47
D006,2024-10-13,Email,Aligned on quarterly targets and marketing support.,17
D006,2024-11-20,Review Meeting,Aligned on quarterly targets and marketing support.,11
D007,2024-09-11,Call,Discussed sales performance and incentives.,33
D007,2024-08-15,Dealer Visit,Discussed sales performance and incentives.,24
D007,2024-06-03,Email,Aligned on quarterly targets and marketing support.,34
D007,2024-09-19,Video Call,Addressed complaints related to warranty delays.,73
D007,2024-02-26,Call,Addressed complaints related to warranty delays.,89
D007,2024-07-02,Call,Reviewed service quality and customer feedback.,83
